层级,类型,目录/文档,相对路径,Owner,备注,原因
0,目录,vllm-ascend,vllm-ascend,,,根目录，无法对应单一特性条目
1,目录,.github/,vllm-ascend/.github,,,公共基础设施
2,文档,PULL_REQUEST_TEMPLATE.md,vllm-ascend/.github/PULL_REQUEST_TEMPLATE.md,,,公共基础设施
2,目录,workflows/,vllm-ascend/.github/workflows,,,公共基础设施
3,文档,READMD.md,vllm-ascend/.github/workflows/READMD.md,,,公共基础设施
1,文档,AGENTS.md,vllm-ascend/AGENTS.md,,,公共基础设施
1,目录,benchmarks/,vllm-ascend/benchmarks,,,公共基础设施
2,文档,README.md,vllm-ascend/benchmarks/README.md,,,公共基础设施
2,目录,scripts/,vllm-ascend/benchmarks/scripts,,,公共基础设施
3,文档,perf_result_template.md,vllm-ascend/benchmarks/scripts/perf_result_template.md,,,公共基础设施
1,文档,CLAUDE.md,vllm-ascend/CLAUDE.md,,,公共基础设施
1,文档,CODE_OF_CONDUCT.md,vllm-ascend/CODE_OF_CONDUCT.md,,,公共基础设施
1,文档,CONTRIBUTING.md,vllm-ascend/CONTRIBUTING.md,,,公共基础设施
1,目录,docs/,vllm-ascend/docs,,,公共基础设施
2,文档,README.md,vllm-ascend/docs/README.md,,,公共基础设施
2,目录,source/,vllm-ascend/docs/source,,,公共文档，无对应特性条目
3,目录,_templates/,vllm-ascend/docs/source/_templates,,,公共文档，无对应特性条目
4,文档,Model-Deployment-Tutorial-Template.md,vllm-ascend/docs/source/_templates/Model-Deployment-Tutorial-Template.md,,,公共文档模板，无对应特性条目
3,目录,community/,vllm-ascend/docs/source/community,,,社区公共文档，无对应特性条目
4,文档,contributors.md,vllm-ascend/docs/source/community/contributors.md,,,社区贡献者公共文档，无对应特性条目
4,文档,governance.md,vllm-ascend/docs/source/community/governance.md,,,社区治理公共文档，无对应特性条目
4,目录,user_stories/,vllm-ascend/docs/source/community/user_stories,,,用户案例公共文档，无对应特性条目
5,文档,index.md,vllm-ascend/docs/source/community/user_stories/index.md,,,用户案例索引公共文档，无对应特性条目
5,文档,llamafactory.md,vllm-ascend/docs/source/community/user_stories/llamafactory.md,,,用户案例公共文档，无对应特性条目
4,文档,versioning_policy.md,vllm-ascend/docs/source/community/versioning_policy.md,,,版本策略公共文档，无对应特性条目
3,目录,developer_guide/,vllm-ascend/docs/source/developer_guide,"甄文奇,康宇昕,刘国琴",,文档/developer guide
4,目录,contribution/,vllm-ascend/docs/source/developer_guide/contribution,"甄文奇,康宇昕,刘国琴",,文档/developer guide
5,文档,index.md,vllm-ascend/docs/source/developer_guide/contribution/index.md,"甄文奇,康宇昕,刘国琴",,文档/developer guide
5,文档,multi_node_test.md,vllm-ascend/docs/source/developer_guide/contribution/multi_node_test.md,"甄文奇,康宇昕,刘国琴",,文档/developer guide
5,文档,testing.md,vllm-ascend/docs/source/developer_guide/contribution/testing.md,"甄文奇,康宇昕,刘国琴",,文档/developer guide
4,目录,Design_Documents/,vllm-ascend/docs/source/developer_guide/Design_Documents,"甄文奇,康宇昕,刘国琴",,文档/developer guide
5,文档,ACL_Graph.md,vllm-ascend/docs/source/developer_guide/Design_Documents/ACL_Graph.md,"刘逸舟,柯展,付豪",,graph/aclgraph
5,文档,add_custom_aclnn_op.md,vllm-ascend/docs/source/developer_guide/Design_Documents/add_custom_aclnn_op.md,"陈龙,毛琦,韩俊",,算子/ascendC算子
5,文档,context_parallel.md,vllm-ascend/docs/source/developer_guide/Design_Documents/context_parallel.md,"魏桂华,邱纯硕,田馥玮",,attn feature/长序列(CPP)
5,文档,cpu_binding.md,vllm-ascend/docs/source/developer_guide/Design_Documents/cpu_binding.md,"邹易达,陈楚未",,features/绑核
5,文档,disaggregated_prefill.md,vllm-ascend/docs/source/developer_guide/Design_Documents/disaggregated_prefill.md,"周学荣,王啸腾",,KVConnector/PD分离
5,文档,eplb_swift_balancer.md,vllm-ascend/docs/source/developer_guide/Design_Documents/eplb_swift_balancer.md,"曾彦嘉,田馥玮",,features/EPLB
5,文档,index.md,vllm-ascend/docs/source/developer_guide/Design_Documents/index.md,"甄文奇,康宇昕,刘国琴",,文档/developer guide
5,文档,KV_Cache_Pool_Guide.md,vllm-ascend/docs/source/developer_guide/Design_Documents/KV_Cache_Pool_Guide.md,"赵鹏博,房建伟",,KVConnector/池化
5,文档,ModelRunner_prepare_inputs.md,vllm-ascend/docs/source/developer_guide/Design_Documents/ModelRunner_prepare_inputs.md,"刘逸舟,柯展",,公共/prepare inputs
